0001: Hilah Spess, Ashley Sasikumar
0651: Retha Scanlin, Cletus Vergano
0652: Gatha Walthour, Burley Wallberg
0653: Petronella Hettenhausen, Enos Riek
0654: Ilo Lahl, Harlow Legon
0655: Genoveva Cluett, Barnett Minerva
0656: Minerva Galeana, Orvel Aukerman
0657: Dorinda Percha, Justice Orteza
0658: Delphia Lasee, Oather Ryhal
0659: Blannie Woodfall, Larkin Haerle
0660: Myrtie Hunkins, Seymour Rooksberry
0661: Mandie Merklinger, Vollie Duehring
0662: Hilder Gloster, Arno Mcfield
0663: Ariel Baig, Olin Jarnagan
0664: Orva Zarcone, Cicero Depuy
0665: Lomie Stafki, Ivor Ramcharitar
0666: Flora Lamble, Luke Sliney
0667: Octavia Anido, Amzie Deubel
0668: Lilia Perlera, Lenord Moriyama
0669: Lutie Dipino, Maximo Hellinger
0670: Oza Pellish, Gillis Waldridge
0671: Malena Weigner, Dalton Lukes
0672: Laurene Colsch, Lessie Hernandezflore
0673: Janetta Trumbower, Gurney Ducham
0674: Melba Clinesmith, Hence Previdi
0675: Clarissa Pettingell, Manuel Rizor
0676: Thekla Falivene, Chesley Merwarth
0677: Elisa Fayson, Ewart Azzari
0678: Vinnie Strowder, Finley Crohn
0679: Lossie Gschwind, Prosper Cuamani
0680: Kathyrn Pees, Stanton Pelesky
0681: Rama Brost, Amiel Pollino
0682: Phoebe Wachner, Nels Kostelnik
0683: Virginia Savini, Toy Tobaben
0684: Leoma Davolt, Corbett Schmalbach
0685: Brownie Cahuantzi, Rich Harland
0686: Retta Cuatt, Arlo Veinot
0687: Roxy Jann, Brooks Tabuena
0688: Effa Mcgeachy, Mance Waston
0689: Gaynelle Mascarella, Issac Mechem
0690: Josie Larks, Owen Josie
0691: Lue Ciletti, Clay Stickford
0692: Evadne Councilor, Bessie Malnar
0693: Dessie Haensel, Sadie Rennix
0694: Vivia Thuss, Hezzie Weerheim
0695: Radie Jassim, Arthur Holtzman
0696: Madlyn Hanuman, Goff Kolpak
0697: Francie Boriboun, Isham Firer
0698: Dorsie Kantzer, West Messerle
0699: Inga Frommelt, Dorsey Truly
0700: Arminta Farland, Mildred Currens
0701: Katrina Yokomizo, Willian Koory
0702: Tillie Magolan, Stanford Bangi
0703: Maura Dianda, Jessie Fill
0704: Lana Rozzell, Press Marl
0705: Juanita Schendel, Lorenzo Titlow
0706: Theodora Slydell, Malvin Whims
0707: Rheta Rechtman, Pearlie Taunton
0708: Virgia Stumo, Van Hromada
0709: Aurelia Polgar, Swan Lassig
0710: Reatha Otterstetter, Edgar Stillinger
0711: Sedonia Mancarella, Benedict Masaniai
0712: Olga Moruzzi, Arvil Baksa
0713: Leocadia Willenberg, Gertrude Newren
0714: Elmina Brzezinski, Horace Flennory
0715: Salina Borkey, Frank Malloy
0716: Lavonne Ciardelli, Jep Ozella
0717: Dealie Nesselroad, Gilman Meletiche
0718: Matha Palic, Governor Metelski
0719: Zaidee Huey, Kenneth Mistrot
0720: Willella Ernhart, Helmer Kalilikane
0721: Evangeline Dagit, Addison Padhi
0722: Zella Delarue, Rogers Seliskar
0723: Cilla Lythgoe, Fay Lhomme
0724: Ardath Bartelt, Pascual Burraston
0725: Mathilda Stonebridge, Shelly Eyster
0726: Eufelia Fremont, Hugh Langenburg
0727: Rissie Ossler, Elwyn Venturino
0728: Ivah Cillo, Allan Wojtalewicz
0729: Annabel Prach, Ananias Weirick
0730: Gizella Merritts, Eben Kheng
0731: Cornie Motyka, Robt Codding
0732: Elenore Fatato, Everett Schroedter
0733: Ola Polisano, Joan Schlais
0734: Ovie Gittins, Ephram Boody
0735: Madie Mitter, Justin Vonhoene
0736: Sinnie Mastromatteo, Esco Neziri
0737: Modesta Broxmeyer, Ural Sirmans
0738: Alzada Bonwell, Merton Lucchino
0739: Juda Boccardi, Commodore Degante
0740: Beatrix Roslan, Floyd Slauenwhite
0741: Noella Vanderpool, Johnny Delcorso
0742: Levonia Veasey, Farley Adachi
0743: Magnolia Hoogland, Clarence Woiwode
0744: Fedora Zirin, Jose Mcconn
0745: Mamye Aguon, Bub Claybaugh
0746: Jacqueline Rusko, Anna Kenzie
0747: Nicolina Avrit, Williams Scripps
0748: Desta Nevenhoven, Maurice Bruzon
0749: Hermine Dimock, Aden Radev
0750: Elnora Ghersi, Marko Hoberg
